144,BZD,2018-01-22 01:26:50,,Belize Dollar,2.011574000,2020-07-01 05:23:34,$,false
145,BAM,2018-01-22 01:26:50,,Bosnia-Herzegovina Convertible Mark,1.741449000,2020-07-01 05:23:34,KM,false
146,EGP,2018-01-22 01:26:50,,Egyptian Pound,16.152200000,2020-07-01 05:23:34,ج.م.‏,false
147,MOP,2018-01-22 01:26:50,,Macanese Pataca,7.966170000,2020-07-01 05:23:34,MOP$,false
148,NAD,2018-01-22 01:26:50,,Namibian Dollar,17.370000000,2020-07-01 05:23:34,N$,false
149,NIO,2018-01-22 01:26:50,,Nicaraguan Córdoba,33.695973000,2020-07-01 05:23:34,C$,false
150,PEN,2018-01-22 01:26:50,,Peruvian Nuevo Sol,3.522200000,2020-07-01 05:23:34,S/.,false
151,NZD,2018-01-22 01:26:50,,New Zealand Dollar,1.547628000,2020-07-01 05:23:34,$,false
152,WST,2018-01-22 01:26:50,,Samoan Tala,2.704367000,2020-07-01 05:23:34,WST,false
153,TMT,2018-01-22 01:26:50,,Turkmenistani Manat,3.500000000,2020-07-01 05:23:34,TMT,false
154,BRL,2018-01-22 01:26:50,,Brazilian Real,5.463000000,2020-07-01 05:23:34,R$,false
